ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"83.143.24.29","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","179","Vbn Core","5678","socks4","4006","1","2026-05-23T01:23:36.345Z","99","12010","12142"
"192.64.115.90","elite","AS22612","US","Namecheap","156","Web-hosting.com","25462","socks4","4407","1","2026-05-23T01:23:36.330Z","96","5137","5365"
"170.239.222.84","elite","AS28201","BR","Companhia Itabirana Telecomunicações Ltda","218","Companhia Itabirana Telecomunicações Ltda","8080","socks4","3896","1","2026-05-23T01:23:36.341Z","99","5089","5138"
"174.138.161.146","elite","AS20454","US","Secured Servers LLC","147","Secured Servers LLC","52595","http","4387","24722","2026-05-23T01:23:36.336Z","100","4","4"
"103.81.114.182","elite","AS132148","MM","Horizon Telecom International","180","Horizon Telecom International Company Limited","4145","socks4","2875","1","2026-05-23T01:23:36.333Z","55","6764","12328"
"89.43.132.226","transparent","AS216472","SY","High Speed For Internet Services L.L.C","58","N/A","8080","http","1416","24711","2026-05-23T01:23:36.337Z","100","29","29"
"118.173.197.241","elite","AS23969","TH","TOT Public Company Limited","194","TOT Public Company Limited","4145","socks5","297","1","2026-05-23T01:23:36.420Z","98","12011","12245"
"207.177.122.129","elite","AS5056","US","Aureon Network Services","120","Danville Mutual Telephone","8080","socks5","4589","1","2026-05-23T01:23:36.525Z","100","275","275"
"27.73.18.185","elite","AS7552","VN","Viettel Group","194","VIETTEL","1080","socks4","2702","1","2026-05-23T01:23:36.418Z","79","4246","5343"
"77.43.224.187","elite","AS15640","RU","MTS PJSC","81","CCL Home07","7788","socks5","4798","1","2026-05-23T01:23:36.525Z","30","1594","5357"
"42.96.22.50","elite","AS131423","VN","HOALAC-VNNIC","177","HoaLac Software City Development Company","8888","socks5","4691","1","2026-05-23T01:23:36.419Z","86","242","281"
"134.209.177.95","elite","AS14061","GB","DigitalOcean, LLC","25","DigitalOcean, LLC","443","socks4","374","1","2026-05-23T01:23:36.417Z","100","291","291"
"162.0.220.161","elite","AS22612","US","Namecheap, Inc.","153","Namecheap, Inc.","39525","socks4","1584","1","2026-05-23T01:23:36.527Z","50","2770","5544"
"182.23.108.164","elite","AS4800","ID","PT Aplikanusa Lintasarta","189","N/A","4153","socks4","3608","1","2026-05-23T01:23:36.346Z","99","5375","5456"
